New York, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,39.5,3.2
199111,37.0,0.7
199211,36.2,-0.1
199311,36.4,0.1
199411,41.5,5.2
199511,33.0,-3.3
199611,32.6,-3.7
199711,34.5,-1.8
199811,38.5,2.2
199911,42.2,5.9
200011,36.3,0.0
200111,43.1,6.8
200211,36.0,-0.3
200311,40.5,4.2
200411,38.8,2.5
200511,40.5,4.2
200611,42.4,6.1
200711,35.9,-0.4
200811,36.4,0.1
200911,41.8,5.5
201011,37.9,1.6
201111,43.1,6.8
201211,35.7,-0.6
201311,34.4,-1.9
