North Carolina, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,66.1,-0.3
199105,70.5,4.1
199205,62.1,-4.3
199305,67.1,0.7
199405,62.9,-3.5
199505,66.6,0.2
199605,67.4,1.0
199705,62.4,-4.0
199805,68.4,2.0
199905,65.2,-1.2
200005,69.1,2.7
200105,66.3,-0.1
200205,65.3,-1.1
200305,65.8,-0.6
200405,71.1,4.7
200505,63.3,-3.1
200605,64.2,-2.2
200705,66.0,-0.4
200805,64.8,-1.6
200905,67.5,1.1
201005,69.6,3.2
201105,67.6,1.2
201205,69.6,3.2
201305,65.1,-1.3
