North Dakota, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,9.0,-3.7
199112,20.3,7.6
199212,9.2,-3.5
199312,16.3,3.6
199412,17.3,4.6
199512,11.6,-1.1
199612,4.6,-8.1
199712,24.9,12.2
199812,17.4,4.7
199912,24.3,11.6
200012,2.8,-9.9
200112,17.9,5.2
200212,20.8,8.1
200312,20.3,7.6
200412,19.4,6.7
200512,17.8,5.1
200612,21.4,8.7
200712,12.7,0.0
200812,5.0,-7.7
200912,7.4,-5.3
201012,9.6,-3.1
201112,23.0,10.3
201212,13.3,0.6
201312,5.0,-7.7
