Oklahoma, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,35.8,-3.1
199112,42.6,3.7
199212,39.2,0.3
199312,41.6,2.7
199412,42.3,3.4
199512,39.2,0.3
199612,41.1,2.2
199712,38.3,-0.6
199812,40.6,1.7
199912,42.7,3.8
200012,30.9,-8.0
200112,42.7,3.8
200212,40.4,1.5
200312,42.2,3.3
200412,41.5,2.6
200512,38.3,-0.6
200612,41.6,2.7
200712,38.2,-0.7
200812,38.6,-0.3
200912,34.6,-4.3
201012,39.5,0.6
201112,39.9,1.0
201212,42.2,3.3
201312,35.2,-3.7
