Oklahoma, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,79.7,-2.0
199107,81.6,-0.1
199207,79.6,-2.1
199307,83.4,1.7
199407,79.6,-2.1
199507,81.1,-0.6
199607,80.8,-0.9
199707,81.5,-0.2
199807,85.9,4.2
199907,82.2,0.5
200007,81.0,-0.7
200107,85.6,3.9
200207,80.6,-1.1
200307,83.3,1.6
200407,78.0,-3.7
200507,80.3,-1.4
200607,83.9,2.2
200707,78.7,-3.0
200807,81.7,0.0
200907,80.8,-0.9
201007,81.9,0.2
201107,89.2,7.5
201207,85.9,4.2
201307,79.6,-2.1
