Oregon, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,34.2,4.0
199101,31.6,1.4
199201,35.0,4.8
199301,26.2,-4.0
199401,36.5,6.3
199501,35.1,4.9
199601,33.2,3.0
199701,32.7,2.5
199801,35.4,5.2
199901,34.5,4.3
200001,32.4,2.2
200101,32.1,1.9
200201,31.8,1.6
200301,39.0,8.8
200401,32.0,1.8
200501,33.8,3.6
200601,35.0,4.8
200701,30.2,0.0
200801,28.5,-1.7
200901,34.2,4.0
201001,36.9,6.7
201101,33.9,3.7
201201,34.4,4.2
201301,29.7,-0.5
