Oregon, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,48.9,-1.6
199105,47.3,-3.2
199205,57.8,7.3
199305,54.5,4.0
199405,53.4,2.9
199505,51.6,1.1
199605,48.3,-2.2
199705,55.7,5.2
199805,48.1,-2.4
199905,48.1,-2.4
200005,51.2,0.7
200105,55.0,4.5
200205,50.2,-0.3
200305,51.2,0.7
200405,51.0,0.5
200505,52.1,1.6
200605,53.2,2.7
200705,53.1,2.6
200805,51.6,1.1
200905,53.2,2.7
201005,46.4,-4.1
201105,46.5,-4.0
201205,50.8,0.3
201305,52.5,2.0
