Rhode Island, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,71.7,3.0
199108,71.3,2.6
199208,67.8,-0.9
199308,71.3,2.6
199408,68.5,-0.2
199508,70.7,2.0
199608,69.8,1.1
199708,69.0,0.3
199808,71.6,2.9
199908,70.4,1.7
200008,68.7,0.0
200108,72.7,4.0
200208,72.6,3.9
200308,73.0,4.3
200408,69.8,1.1
200508,73.8,5.1
200608,70.0,1.3
200708,71.0,2.3
200808,68.4,-0.3
200908,72.6,3.9
201008,70.8,2.1
201108,71.3,2.6
201208,72.5,3.8
201308,69.1,0.4
