South Carolina, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,61.6,-0.3
199104,65.1,3.2
199204,60.9,-1.0
199304,58.4,-3.5
199404,64.5,2.6
199504,64.1,2.2
199604,60.9,-1.0
199704,59.0,-2.9
199804,62.0,0.1
199904,65.3,3.4
200004,60.4,-1.5
200104,63.5,1.6
200204,67.4,5.5
200304,61.1,-0.8
200404,62.5,0.6
200504,60.5,-1.4
200604,66.0,4.1
200704,60.9,-1.0
200804,61.7,-0.2
200904,61.7,-0.2
201004,64.5,2.6
201104,65.0,3.1
201204,64.2,2.3
201304,62.1,0.2
