South Dakota, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,47.3,-0.5
199110,45.5,-2.3
199210,47.7,-0.1
199310,46.0,-1.8
199410,49.5,1.7
199510,46.4,-1.4
199610,46.9,-0.9
199710,49.7,1.9
199810,48.4,0.6
199910,47.8,0.0
200010,50.1,2.3
200110,47.5,-0.3
200210,39.5,-8.3
200310,51.8,4.0
200410,48.8,1.0
200510,49.2,1.4
200610,44.4,-3.4
200710,50.2,2.4
200810,47.2,-0.6
200910,39.5,-8.3
201010,51.6,3.8
201110,51.3,3.5
201210,45.6,-2.2
201310,44.3,-3.5
