South Dakota, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,36.7,5.0
199111,26.7,-5.0
199211,29.4,-2.3
199311,28.2,-3.5
199411,34.0,2.3
199511,29.8,-1.9
199611,22.0,-9.7
199711,30.0,-1.7
199811,36.0,4.3
199911,42.4,10.7
200011,24.4,-7.3
200111,40.8,9.1
200211,34.5,2.8
200311,27.6,-4.1
200411,36.6,4.9
200511,36.8,5.1
200611,33.7,2.0
200711,34.9,3.2
200811,34.2,2.5
200911,40.0,8.3
201011,32.1,0.4
201111,34.4,2.7
201211,34.9,3.2
201311,32.1,0.4
