Tennessee, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,76.3,-0.8
199107,78.1,1.0
199207,76.9,-0.2
199307,80.5,3.4
199407,75.8,-1.3
199507,77.3,0.2
199607,75.6,-1.5
199707,77.5,0.4
199807,78.0,0.9
199907,79.4,2.3
200007,76.8,-0.3
200107,77.1,0.0
200207,78.8,1.7
200307,76.2,-0.9
200407,75.6,-1.5
200507,78.0,0.9
200607,78.0,0.9
200707,76.2,-0.9
200807,76.8,-0.3
200907,73.7,-3.4
201007,79.8,2.7
201107,80.0,2.9
201207,80.5,3.4
201307,74.8,-2.3
