Texas, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,57.3,1.0
199103,59.3,3.0
199203,58.9,2.6
199303,56.0,-0.3
199403,58.4,2.1
199503,56.5,0.2
199603,53.1,-3.2
199703,59.4,3.1
199803,55.0,-1.3
199903,57.6,1.3
200003,61.4,5.1
200103,53.3,-3.0
200203,55.4,-0.9
200303,57.2,0.9
200403,61.8,5.5
200503,56.5,0.2
200603,61.1,4.8
200703,61.9,5.6
200803,58.4,2.1
200903,59.5,3.2
201003,54.8,-1.5
201103,61.8,5.5
201203,63.2,6.9
201303,57.2,0.9
