Utah, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,50.0,4.5
199104,43.2,-2.3
199204,52.7,7.2
199304,45.3,-0.2
199404,47.5,2.0
199504,44.0,-1.5
199604,46.4,0.9
199704,42.8,-2.7
199804,43.4,-2.1
199904,41.7,-3.8
200004,51.0,5.5
200104,47.0,1.5
200204,49.7,4.2
200304,45.8,0.3
200404,48.0,2.5
200504,45.9,0.4
200604,48.4,2.9
200704,48.3,2.8
200804,43.1,-2.4
200904,45.3,-0.2
201004,44.7,-0.8
201104,43.5,-2.0
201204,49.6,4.1
201304,45.0,-0.5
