Utah, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,54.1,-0.6
199105,52.5,-2.2
199205,58.8,4.1
199305,57.2,2.5
199405,57.8,3.1
199505,50.6,-4.1
199605,56.9,2.2
199705,58.0,3.3
199805,53.7,-1.0
199905,52.8,-1.9
200005,59.3,4.6
200105,59.3,4.6
200205,56.3,1.6
200305,57.4,2.7
200405,57.0,2.3
200505,56.0,1.3
200605,58.9,4.2
200705,57.7,3.0
200805,52.8,-1.9
200905,58.7,4.0
201005,50.2,-4.5
201105,50.8,-3.9
201205,58.0,3.3
201305,56.0,1.3
