Vermont, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,35.5,2.3
199111,34.8,1.6
199211,32.3,-0.9
199311,33.5,0.3
199411,37.6,4.4
199511,31.2,-2.0
199611,30.3,-2.9
199711,32.0,-1.2
199811,35.5,2.3
199911,39.3,6.1
200011,34.8,1.6
200111,38.5,5.3
200211,32.3,-0.9
200311,36.5,3.3
200411,34.8,1.6
200511,37.0,3.8
200611,40.5,7.3
200711,32.4,-0.8
200811,34.7,1.5
200911,39.4,6.2
201011,35.0,1.8
201111,40.2,7.0
201211,33.1,-0.1
201311,31.8,-1.4
