Vermont, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,66.2,0.3
199107,65.5,-0.4
199207,61.9,-4.0
199307,66.7,0.8
199407,68.7,2.8
199507,68.8,2.9
199607,64.9,-1.0
199707,64.3,-1.6
199807,65.6,-0.3
199907,68.5,2.6
200007,63.1,-2.8
200107,63.6,-2.3
200207,66.5,0.6
200307,66.5,0.6
200407,65.7,-0.2
200507,68.6,2.7
200607,69.2,3.3
200707,64.6,-1.3
200807,67.0,1.1
200907,64.0,-1.9
201007,69.4,3.5
201107,68.5,2.6
201207,68.0,2.1
201307,69.7,3.8
