Washington, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,34.5,6.1
199101,28.5,0.1
199201,34.6,6.2
199301,24.4,-4.0
199401,36.7,8.3
199501,32.6,4.2
199601,29.0,0.6
199701,30.4,2.0
199801,32.0,3.6
199901,34.3,5.9
200001,30.4,2.0
200101,31.8,3.4
200201,32.9,4.5
200301,36.1,7.7
200401,29.8,1.4
200501,31.5,3.1
200601,35.9,7.5
200701,28.6,0.2
200801,27.4,-1.0
200901,30.1,1.7
201001,36.3,7.9
201101,32.1,3.7
201201,30.7,2.3
201301,29.1,0.7
