Wisconsin, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,24.1,11.7
199101,10.6,-1.8
199201,20.3,7.9
199301,15.1,2.7
199401,3.9,-8.5
199501,16.8,4.4
199601,10.1,-2.3
199701,11.6,-0.8
199801,20.3,7.9
199901,12.0,-0.4
200001,15.1,2.7
200101,19.1,6.7
200201,24.0,11.6
200301,13.7,1.3
200401,10.7,-1.7
200501,14.2,1.8
200601,27.7,15.3
200701,20.3,7.9
200801,14.7,2.3
200901,6.1,-6.3
201001,15.1,2.7
201101,12.2,-0.2
201201,20.8,8.4
201301,16.8,4.4
