Wisconsin, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,45.1,-1.7
199110,45.4,-1.4
199210,45.2,-1.6
199310,44.1,-2.7
199410,49.4,2.6
199510,47.3,0.5
199610,46.7,-0.1
199710,47.5,0.7
199810,49.0,2.2
199910,45.7,-1.1
200010,50.5,3.7
200110,46.1,-0.7
200210,42.1,-4.7
200310,46.8,0.0
200410,48.2,1.4
200510,49.6,2.8
200610,42.8,-4.0
200710,52.6,5.8
200810,46.7,-0.1
200910,42.2,-4.6
201010,49.5,2.7
201110,49.8,3.0
201210,44.8,-2.0
201310,46.7,-0.1
