Wisconsin, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,45.5,2.9
199104,46.7,4.1
199204,40.4,-2.2
199304,39.8,-2.8
199404,43.3,0.7
199504,38.4,-4.2
199604,38.8,-3.8
199704,41.1,-1.5
199804,47.0,4.4
199904,46.6,4.0
200004,42.9,0.3
200104,46.8,4.2
200204,42.9,0.3
200304,42.6,0.0
200404,44.6,2.0
200504,47.7,5.1
200604,49.0,6.4
200704,42.8,0.2
200804,42.9,0.3
200904,43.0,0.4
201004,50.0,7.4
201104,41.7,-0.9
201204,45.1,2.5
201304,37.8,-4.8
