Connecticut, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,43.5,3.3
199111,42.1,1.9
199211,39.7,-0.5
199311,40.7,0.5
199411,45.2,5.0
199511,37.8,-2.4
199611,37.4,-2.8
199711,38.6,-1.6
199811,41.3,1.1
199911,45.4,5.2
200011,40.5,0.3
200111,45.3,5.1
200211,40.0,-0.2
200311,43.8,3.6
200411,41.9,1.7
200511,43.0,2.8
200611,46.3,6.1
200711,39.9,-0.3
200811,40.5,0.3
200911,46.0,5.8
201011,41.9,1.7
201111,45.9,5.7
201211,39.4,-0.8
201311,39.8,-0.4
