Florida, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,66.3,2.0
199111,62.4,-1.9
199211,67.0,2.7
199311,65.5,1.2
199411,69.5,5.2
199511,62.8,-1.5
199611,64.9,0.6
199711,63.6,-0.7
199811,69.6,5.3
199911,65.7,1.4
200011,63.4,-0.9
200111,67.7,3.4
200211,63.1,-1.2
200311,68.6,4.3
200411,67.4,3.1
200511,67.3,3.0
200611,63.4,-0.9
200711,64.8,0.5
200811,61.5,-2.8
200911,66.0,1.7
201011,64.9,0.6
201111,66.4,2.1
201211,62.1,-2.2
201311,67.1,2.8
