Georgia, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,58.9,3.5
199103,58.1,2.7
199203,55.2,-0.2
199303,52.6,-2.8
199403,57.5,2.1
199503,58.9,3.5
199603,51.1,-4.3
199703,62.5,7.1
199803,53.7,-1.7
199903,53.4,-2.0
200003,59.1,3.7
200103,53.8,-1.6
200203,56.9,1.5
200303,59.0,3.6
200403,59.0,3.6
200503,53.7,-1.7
200603,56.1,0.7
200703,60.0,4.6
200803,55.4,0.0
200903,56.4,1.0
201003,52.1,-3.3
201103,57.8,2.4
201203,64.8,9.4
201303,50.2,-5.2
